Req_ID,File_ID,File_Size
171310482,13852739,468749
171310633,6408056,147
171310703,11350088,4197
171310886,6408056,147
171311327,1674185,3629
171311777,1674185,3629
171312489,8220651,6489609
171313264,733964 4,86
171313446,10950790,10059
171314240,12047486,11923
171315530,1326714,1025
171315883,1674185,3629
171315927,7405732,1564
171316131,12397922,1744
171316757,9768307,4282
171318250,12434132,19517
171319669,2436987,4825
171321869,6408056,147
171322320,1674185,3629
171323423,3920523,26770
171323637,7405732,1564
171323969,7622199,140
171325760,3934361,1467
171326647,6408056,147
171327744,3920523,26770
171328169,7405732,1564
171328909,13220065,15897
171328973,1674185,3629
171329104,1674185,3629
171329126,6408056,147
171329620,12741239,17798
171330129,1674185,3629
171330495,12929352,31819
171331772,1620004,5651
171332642,1674185,3629
171332773,6408056,147
171333763,2897514,1417
171333776,9742976,1715
171334813,366922 6,72
171334884,11717487,4467
171335493,12554670,372
171335668,6408056,147
171336059,6408056,147
171337144,6408056,147
171337181,6438604,14814
171337482,10476958,3136
171338034,11399926,19916
171338057,8673062,10859
171338999,10243098,47428
171340111,6408056,147
171340643,1674185,3629
171340655,6408056,147
171340753,8603259,676
171340853,2379331,95981
171341016,6408056,147
171341612,1674185,3629
171341675,1576754,49095
171341941,10902754,12166
171342206,5492823,9351
171342754,7405732,1564
171343134,6140018,6753472
171343572,12256868,15214
171343606,8027186,13502
171343627,10899816,674
171343994,11753447,1822
171344498,1674185,3629
171344572,11340987,63550
171344705,4452578,12054
171345057,7040763,684
171345685,8298364,42632
171346106,2778357,122
171346113,11753447,1822
171347068,1674185,3629
171348018,1674185,3629
171348831,3934361,1467
171348973,6408056,147
171349094,3920523,26770
171349670,6747328,3355
171349839,6408056,147
171350000,11753447,1822
171350542,1674185,3629
171350573,3920523,26770
171350738,7939803,17460
171351091,6553285,333908
171351905,11370676,8345
171353551,3227018,11195
171353965,11753447,1822
171354380,3770303,12774
171354638,11589326,5100
171355299,11164951,2694
171355463,5239593,376
171357590,6819079,17345
171358005,7150142,42297
171358279,9742976,1715
171358568,4985312,642
171358979,10542230,319
171359141,7040763,684
171359578,9284471,15580
171359800,7356185,6489
171361772,10187313,13506
171362226,6408056,147
171363233,11164951,2694
171363242,1674185,3629
171363370,7622199,140
171363923,4225364,3267
171363999,7405732,1564
171364208,10003775,2980
171365012,1674185,3629
171365015,12811895,2074
171366748,2778357,122
171367034,8870174,4090
171369806,4447917,19807
171370017,9742976,1715
171370048,5360235,62713
171370102,11530712,7589
171370332,3920523,26770
171370388,135478 2,250
171370567,6408056,147
171371199,8696211,5887
171372205,7040763,684
171372623,6408056,147
171373538,1674185,3629
171373793,1674185,3629
171374314,3920523,26770
171374744,6408056,147
171375215,6408056,147
171375430,1832140,104078
171375597,7040763,684
171376628,1674185,3629
171376769,3934361,1467
171378211,1674185,3629
171378281,1674185,3629
171379436,7405732,1564
171381679,12804850,1673
171382497,7405732,1564
171383133,4749342,31459
171383813,6408056,147
171383905,2279412,12855
171385213,9704607,7915
171385756,7040763,684
171385835,6075245,9854
171387686,931787 5,2073
